texto,categoria
¿Se puede jugar sentado?,consulta_general
Dame un tutorial de git,fuera_dominio
Qué objeto hay arriba,objetos_cercanos
¿Quién fue Napoleón?,fuera_dominio
Descríbeme la habitación,descripcion_escena
¿Puedes narrar la escena actual?,descripcion_escena
Dime qué detectas ahora mismo,descripcion_escena
Dirígeme a la roca,navegacion
¿Hay algún modo cooperativo?,consulta_general
¿Qué puedo preguntarte?,consulta_general
¿Qué hago con este objeto?,consulta_general
¿Cuánto queda para el final?,consulta_general
¿Cómo se abre una puerta aquí?,consulta_general
Quiero una descripción resumida del entorno,descripcion_escena
Ayuda,consulta_general
¿Cómo llego a la ventana?,navegacion
Dime hacia qué lado está el cofre,localizacion_objeto
Muéstrame el camino a el barril,navegacion
¿Qué aspecto tiene la estantería?,detalle_objeto
Dime los tres objetos más próximos,objetos_cercanos
¿Dónde está la llave?,localizacion_objeto
¿Cómo se ve el sitio ahora mismo?,descripcion_escena
Dime cómo llegar a el cristal,navegacion
Me aburro,fuera_dominio
Dime los tres primeros objetos cercanos,objetos_cercanos
Dime qué hay detrás de mí,objetos_cercanos
¿Hay herramientas cerca de mí?,objetos_cercanos
Dime si la vela está encendida y de qué color es la llama,detalle_objeto
¿Puedes contarme cómo es este lugar?,descripcion_escena
¿Cómo es el reloj?,detalle_objeto
¿Cómo activo la magia?,consulta_general
Explícame cómo es la botella,detalle_objeto
Guiame al cofre,navegacion
¿Cómo se activa el micrófono?,consulta_general
¿Cómo cambio de objeto?,consulta_general
Qué planes tienes hoy,fuera_dominio
Descríbeme la moneda,detalle_objeto
Dime en qué lugar estoy,descripcion_escena
Acércame a el cuadro,navegacion
Ayúdame a llegar a la alfombra,navegacion
Me caes bien,fuera_dominio
¿Quién eres?,fuera_dominio
Dime cómo llegar a la roca,navegacion
¿Hay algún puerta cerca de mí?,objetos_cercanos
¿Qué hora es?,fuera_dominio
¿Cómo se ve el cuenco?,detalle_objeto
¿Hay algo a mi izquierda?,objetos_cercanos
¿Hay armas cerca de mí?,objetos_cercanos
¿De qué color es el mapa?,detalle_objeto
Ponme la escena en palabras,descripcion_escena
Dame una descripción extensa de la escena,descripcion_escena
Dirígeme a la ventana,navegacion
Descríbeme el reloj con detalle,detalle_objeto
¿Cómo funciona Internet?,fuera_dominio
Descríbeme el botón rojo,detalle_objeto
¿Hay algún silla cerca de mí?,objetos_cercanos
Quiero una descripción general del sitio,descripcion_escena
Dime la posición de el cetro,localizacion_objeto
¿Hay subtítulos?,consulta_general
¿Qué decoración tengo cerca?,objetos_cercanos
Dime hacia qué lado está la botella,localizacion_objeto
¿Tengo estantería al alcance?,objetos_cercanos
Ponme al tanto de cómo es esta sala,descripcion_escena
¿Qué tamaño tiene la puerta?,detalle_objeto
Dime cómo es la mesa en detalle,detalle_objeto
Ayúdame a llegar a la ventana,navegacion
Elige entre cara o cruz,fuera_dominio
¿Cómo suelto lo que llevo?,consulta_general
¿Puedo repetir la última acción?,consulta_general
¿Es una habitación o un exterior?,descripcion_escena
¿Dónde puedo encontrar la alfombra?,localizacion_objeto
¿Se puede activar un modo más lento?,consulta_general
Ponme en contexto del lugar,descripcion_escena
Quiero saber más sobre la espada,detalle_objeto
"Voy a el mapa, guíame",navegacion
¿Puedo hablar contigo en cualquier momento?,consulta_general
¿Qué día de la semana es?,fuera_dominio
¿Qué tiempo hace hoy?,fuera_dominio
Dime qué hay abajo,objetos_cercanos
¿Cómo pauso el juego?,consulta_general
¿Qué sonidos hay?,consulta_general
¿Es grande o pequeño la estantería?,detalle_objeto
Llévame a la ventana,navegacion
Guíame hasta el cuadro,navegacion
¿Hay alguna escudo cerca?,objetos_cercanos
¿Qué lugar es este?,descripcion_escena
Muéstrame el camino a el cristal,navegacion
Dame contexto visual del lugar,descripcion_escena
Hola,fuera_dominio
¿Es grande o pequeño el mapa?,detalle_objeto
¿Hay algo que pueda alcanzar con la mano?,objetos_cercanos
¿De qué color es el libro?,detalle_objeto
"Me quedo sin ideas, ¿qué pruebo?",consulta_general
Retrocede un paso,navegacion
A ver,fuera_dominio
Dime un número al azar,fuera_dominio
Hazme una descripción rápida del lugar,descripcion_escena
Dame detalles sobre la roca,detalle_objeto
¿Qué textura tiene el cuenco?,detalle_objeto
¿Cuántos países hay en Europa?,fuera_dominio
"Ya he mirado todo, ¿qué hago?",consulta_general
¿Qué hay a un paso de mí?,objetos_cercanos
Cuéntame cómo es este escenario,descripcion_escena
¿Hay algún barril cerca de mí?,objetos_cercanos
Explícame cómo es la estantería,detalle_objeto
Me siento solo,fuera_dominio
¿Puedo interactuar con algo?,consulta_general
¿Este objeto se puede combinar con otro?,consulta_general
Cuéntame cómo es la silla,detalle_objeto
¿Tengo espada al alcance?,objetos_cercanos
Orientame hacia la llave,navegacion
Dame detalles sobre el botón rojo,detalle_objeto
Dame una descripción general de la escena,descripcion_escena
¿Cuánto me falta para llegar a el botón rojo?,localizacion_objeto
Guíame hasta el reloj,navegacion
"Para, para de hablar",consulta_general
¿De qué material es la mesa?,detalle_objeto
¿Puedo volver a la habitación anterior?,consulta_general
Vale,fuera_dominio
¿Cómo se ve la vela?,detalle_objeto
¿Dónde está la lámpara?,localizacion_objeto
¿Qué puedo hacer aquí?,consulta_general
Indícame el camino hasta la estantería,navegacion
Guíame hasta la ventana,navegacion
¿Usas GPT?,fuera_dominio
¿Interior o exterior?,descripcion_escena
¿Qué pasa si toco esto?,consulta_general
¿Tengo mesa cerca?,objetos_cercanos
Habla más lento,consulta_general
Dime dónde está el barril,localizacion_objeto
Ubícame la botella,localizacion_objeto
Muéstrame el camino a el cuenco,navegacion
¿Qué serie me aconsejas?,fuera_dominio
¿Está cerca la poción?,localizacion_objeto
Detalla el barril,detalle_objeto
¿Hay alguien más aquí?,consulta_general
¿Cómo se ve el botón rojo?,detalle_objeto
Hazme una descripción resumida del lugar,descripcion_escena
¿Cómo pido ayuda?,consulta_general
Dime un chiste,fuera_dominio
Descríbeme lo que me rodea,descripcion_escena
¿Dónde acaba esta sala?,consulta_general
Sube la calefacción dos grados,fuera_dominio
¿Puedes decirme dónde está la poción?,localizacion_objeto
¿Qué percibes en este lugar?,descripcion_escena
Bueno,fuera_dominio
¿Cuánto es siete por ocho?,fuera_dominio
¿De qué color es la caja de madera?,detalle_objeto
¿Eres humano?,fuera_dominio
Hazme una descripción completa del lugar,descripcion_escena
Orientame sobre dónde estoy,descripcion_escena
Suma 100 y 250,fuera_dominio
¿el reloj tiene algo especial?,detalle_objeto
Dime cómo es el pergamino en detalle,detalle_objeto
Dame una descripción rápida de la escena,descripcion_escena
Descríbeme este espacio,descripcion_escena
¿el barril tiene algo especial?,detalle_objeto
